FactoryName;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;PostalCode;Country;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
PT Nikomas Gemilang;FINISHED GOODS;Footwear;Nike;;POU CHEN;Jalan Raya Serang KM71 Desa Tambak Kibin;Serang;Banten;42186;Indonesia;S ASIA;23522;19181;84;0
Supertex El Salvador S.A. de C.V.;FINISHED GOODS;Apparel;Nike;;SUPERTEX;Km 76 5 By Pass Norte;Chalchuapa;Santa Ana;02205;El Salvador;AMERICAS;3309;2611;68;0
JINGNING XUANCHEN TECHNOLOGY CO., LTD.;FINISHED GOODS;Apparel;Nike;;JINGNING XUANCHEN TECHNOLOGY;99 Tuanjie East Road Hongxin Street Jingning County;Lishui;Zhejiang;323500;China;N ASIA;48;43;85;0
QINGDAO MAITE FITNESS EQUIPMENT CO.,LTD;FINISHED GOODS;Equipment;Nike;;QINGDAO MAITE;500m North of Yangshankuang Village;Qingdao;Shandong;266205;China;N ASIA;17;9;13;0
Unipax Co., Ltd;FINISHED GOODS;Apparel;Nike;;HWASEUNG CROWN;Lot 101 2 and Lot 101 4 Amata Road 3;Bien Hoa City;Ðng Nai;810000;Vietnam;SE ASIA;1999;1534;98;0
SAMBU FINE CHEMICAL CO LTD (KOREA);MATERIALS;Footwear;Nike;;SAMBU FINE CHEMICAL;167 SEOBU RO 1637 BEON GIL;Gyungnam;Gyeongsangnamdo;50888;South Korea;N ASIA;105;50;19;2
PT Victory Chingluh Indonesia;FINISHED GOODS;Footwear;Nike;;CHING LUH;Jl Otonom Pasar Kemis No 48 and 49;Tangerang;Banten;15560;Indonesia;S ASIA;11562;9585;74;0
Dona Pacific (Vietnam) Co., Ltd.;FINISHED GOODS;Footwear;Nike;;FENG TAY;Song May Industrial Zone Bac Son Ward;Dong Nai;Ðng Nai;76313;Vietnam;SE ASIA;7791;7105;60;0
Ningbo Bell Garment Industrial Co. Ltd;FINISHED GOODS;Apparel;Nike;;NINGBO BELL;No 422 Jianghu Road Jiangbei Investment Zone C;Ningbo;Zhejiang;315033;China;N ASIA;120;98;74;0
Viet Tien Garment Corporation;FINISHED GOODS;Apparel;Nike;;SOUTH ISLAND;7 Le Minh Xuan;Ho Chi Minh;Ho Chi Minh;7000;Vietnam;SE ASIA;1548;1392;75;0
EVEREST TEXTILES CHINA;MATERIALS;Apparel;Nike;;EVEREST TEXTILE;197 Baisha Road Xinghuo Development Zone;Shanghai;Shanghai;200000;China;N ASIA;521;312;47;0
PT PRATAMA ABADI INDUSTRI;FINISHED GOODS;Footwear;Nike;;PRATAMA;Jl Sukabumi Cianjur KM14 Sukabumi West Java;Sukabumi;Jawa Barat;43191;Indonesia;S ASIA;17523;15583;82;0
COSMO-E-MART NON-WOVEN COMPANY LIMITED;MATERIALS;Footwear;Nike;;COSMOPOLITAN TEXTILE;Road 1 Duc Hoa Ha Industrial Park;Duc Hoa District;Long An;850000;Vietnam;SE ASIA;58;36;4;17
DONGGUAN RICHWAY HANDBAG CO., LTD.;FINISHED GOODS;Apparel;Nike;;DONGGUAN RICHWAY;Room 101 4 of 13 Lindong 1st Road Lincun Tangxia Town;Dongguan;Guangdong;523711;China;N ASIA;115;100;0;0
DONGJIN TEXTILE VINA;MATERIALS;Footwear;Nike;;DONGJIN;LOT D8 1 ROAD NO 2;Dong Nai;Ðng Nai;76123;Vietnam;SE ASIA;185;108;35;9
Nanjing 3H Medical Products Co., Ltd.;FINISHED GOODS;Equipment;Nike;;NANJING 3H MEDICAL;No 5 Zhushan Road Gaochun Economic Development Zone;Nanjing ;Jiangsu;211300;China;N ASIA;670;360;0;0
Almaxtex Tekstil Sanayi ve Ticaret A.S.;FINISHED GOODS;Apparel;Nike;Collegiate;YESIM;Karapinar Mah Ankara Yolu Cad;Bursa;Bursa;16580;Turkey;EMEA;2743;1500;53;0
Chun Yu Ribbon ENT Co., Ltd.;MATERIALS;Apparel;Nike;;CHI YANG RIBBON;No 557 Sec, 4 Zhangshui Rd, Pitou Township;Changhua;Changhua;523;Taiwan;N ASIA;129;109;71;24
Cygnus Investments S.A. de C.V.;FINISHED GOODS;Apparel;Nike;;CYGNUS;Km 30 and a half Carretera al Aeropuerto Internacional;Olocuilta;La Paz;01608;El Salvador;AMERICAS;468;403;50;0
Walt Technology Group Co., Ltd.;FINISHED GOODS;Apparel;Nike;;ZHEJIANG WALT;48 Shijing Road;Haining;Zhejiang;314400;China;N ASIA;865;392;85;1
Pinghu Lipai Bags and Luggage Co., Ltd.;FINISHED GOODS;Apparel;Nike;;PINGHU LIPAI;No123 Hehe Road;Pinghu;Zhejiang;314200;China;N ASIA;190;158;75;0
MAS Fabrics (Private) Limited - Matrix;MATERIALS;Footwear;Nike;;MAS HOLDINGS;MAS Fabric park;Warakapola;Kegalla;71610;Sri Lanka;S ASIA;1289;866;46;0
RAMATEX INDUSTRIAL SUZHOU LTD;FINISHED GOODS;Apparel;Nike;;RAMATEX;88 SU HONG XI LU SUZHOU INDUSTRIAL PARK;Suzhou;Jiangsu;215021;China;N ASIA;372;320;92;0
TKG ECO MATERIAL SYNTHETIC (TR1) (KOREA);FINISHED GOODS - COMPONENTS;Footwear;Nike;;TKG ECO MATERIAL;11 Noksansandan 382ro 49beongil Gangseogu;Busan;Busan Gwangyeogsi;46756;South Korea;N ASIA;150;68;6;0
NINGBO SHENZHOU KNITTING CO., LTD;MATERIALS;Apparel;Nike;Collegiate;SHENZHOU;No 18 Yongjiang Rd;Ningbo;Zhejiang;315800;China;N ASIA;5434;4955;38;0
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA;FINISHED GOODS;Footwear;Nike;;DASS;RUA JULIO HAUSER, 1640 - BAIRRO 7 DE SETEMBRO;Ivoti;Rio Grande do Sul;93900-000;Brazil;AMERICAS;44;22;40;0
Avery Dennison (Suzhou) Co.,Ltd ;MATERIALS;Apparel;Nike;;AVERY DENNISON;No 56 Yangpu Road;Suzhou;Jiangsu;215024;China;N ASIA;815;555;49;0
Far Eastern Apparel (Vietnam) Limited;FINISHED GOODS;Apparel;Nike;Collegiate;FAR EASTERN;No 46 Dai Lo Tu Do Vietnam Singapore Industrial Park;Thuan An;Bình Duong;75000;Vietnam;SE ASIA;3879;2902;65;0
Sabrina Cambodia Garment Manufacturing;FINISHED GOODS;Apparel;Nike;Collegiate;SABRINA;National Rd;Samrong Torng District;Otdar Mean Chey;13256;Cambodia;SE ASIA;5887;4211;93;0
Asena 4;FINISHED GOODS;Apparel;Nike;Collegiate;YESIM;LENIN STREET  243a;KONGAZ,COMRAT;Gagauzia-- Unitate;3815;Moldova;EMEA;670;537;97;0
Interloop Limited Apparel Park;FINISHED GOODS;Equipment;Nike;;INTERLOOP;Bypass Khurrianwala;Faisalabad;Punjab;37630;Pakistan;S ASIA;2273;1945;11;0
Guangzhou Yisetong Clothing Co.Ltd;FINISHED GOODS;Apparel;Nike;;GUANGZHOU YISETONG;Jinshan Industrial Park 8 building 4F;Guangzhou;Guangdong;511400;China;N ASIA;5;4;3;0
Textil H.J.Hering Ltda;FINISHED GOODS;Apparel;Nike;;TEXTIL H.J. HERING;Rua Rio de Janeiro 965  Bairro dos Estados;Indaial;Santa Catarina;89086-723;Brazil;AMERICAS;305;287;79;0
EVEREST TEXTILES THAILAND-V;MATERIALS;Apparel;Nike;;EVEREST TEXTILE;49 Moo 1 Taladnadwatsoifa Road;Banpong;Ratchaburi;70110;Thailand;SE ASIA;488;275;36;22
WUXI BROTHERS PACKAGING CO., LTD ;FINISHED GOODS;Equipment;Nike;;WUXI BROTHERS PACKAGING CO., LTD;No 88;Wuxi;Jiangsu;214199;China;N ASIA;15;9;57;0
Fairway Enterprises Company Ltd (India Branch) - Unit 1;FINISHED GOODS;Footwear;Nike;;FENG TAY;Plot no G 1B SIPCOT Industrial Park;KRISHNAGIRI;Tamil Nadu;635304;India;S ASIA;4202;4176;54;0
JUNMAY LABEL (TAIWAN);MATERIALS;Footwear;Nike;;JUNMAY LABEL;486 Sec 3 Zhongshan Rd Guiren Dist;Tainan;Tainan;71152;Taiwan;N ASIA;76;36;0;28
Vertical Knits S.A. de C.V. (MDC - Tizimin);FINISHED GOODS;Apparel;Nike;;VERTICAL KNITS;tablaje catastral 2669 SN CP 97702;Tizimin;Yucatán;97702;Mexico;AMERICAS;952;731;43;0
Vertical Knits S.A. de C.V. (MDC - Campeche);FINISHED GOODS;Apparel;Nike;Collegiate;VERTICAL KNITS;Avenida Baja Velocidad No 108;Colonial Campeche;Campeche;24087;Mexico;AMERICAS;468;372;79;0
YICHANE CO.LTD;FINISHED GOODS;Equipment;Nike;;YICHANE;NO34 LANE 172 CHENGSI ST;Tainan;Tainan;709;Taiwan;N ASIA;27;14;11;0
KURARAY CO LTD (CLARINO) (TR1) (JAPAN);MATERIALS;Footwear;Nike;;KURARAY;1 2 1  Kaigan dori  Minami ku;Osaka;Ôsaka;7028601;Japan;N ASIA;1700;1400;40;0
VIET NAM ARGENT OPTICAL LIMITED COMPANY;FINISHED GOODS;Equipment;Nike;;VIET NAM ARGENT OPTICAL;Lot CN6 Ba Thien Industrial Park Ba Hien Town;Binh Xuyen;Vinh Phúc;15800;Vietnam;SE ASIA;121;90;0;0
Zentrix Huamantla;FINISHED GOODS;Apparel;Nike;;ZENTRIX;Calle Virgen de la Caridad 1;Huamantla;Tlaxcala;90500;Mexico;AMERICAS;1327;1134;67;0
PT DAH JU INDONESIA;MATERIALS;Footwear;Nike;;DAH SHENG CHEMICAL;Dusun Karangturi RT003 RW004 ;Kabupaten Cirebon;Jawa Barat;45191;Indonesia;S ASIA;181;113;0;0
TKG TAEKWANG INDUSTRY CO., LTD.;FINISHED GOODS;Footwear;Nike;;TAEKWANG;258 9 AN DONG;GIMHAE;Gyeongsangnamdo;62120;South Korea;N ASIA;896;310;63;0
Far Eastern New Apparel (Vietnam) Ltd (MDC);FINISHED GOODS;Apparel;Nike;Collegiate;FAR EASTERN;D1 Street, Bac Dong Phu Industrial Park;Binh Phuoc;Bình Phuc;83000;Vietnam;SE ASIA;3379;2431;78;0
Thai Sock Co., Ltd.;FINISHED GOODS;Equipment;Nike;Collegiate;THAI SOCKS;29 1 Moo 4;Prapradaeng;Samut Prakan;10130;Thailand;SE ASIA;360;279;75;0
Marbelys;FINISHED GOODS;Apparel;Nike;;MARBELYS;4ta Calle Final 4 00 zona 2;San Pedro Sacatepequez;Guatemala;01058;Guatemala;AMERICAS;134;128;56;0
Fanatics Licensed Sports Group, LLC. - Hoover;FINISHED GOODS;Apparel;Nike;Collegiate;FANATICS;6290 Hoover Blvd;Tampa;Florida;33364;USA;AMERICAS;430;400;0;0
PPSEC COMPANY LIMITED;FINISHED GOODS - COMPONENTS;Apparel;Nike;;SEC ACCESSORIES;Phnom Penh Special Economic Zone;Phnom Penh;Phnom Penh;120907;Cambodia;SE ASIA;592;509;6;3
FASHION GARMENTS MEKONG CO., LTD;FINISHED GOODS;Apparel;Nike;;FASHION GARMENTS;818B Highway 30 Hamlet 3 An Hoa Commune;Tam Nong;Ðng Tháp;870000;Vietnam;SE ASIA;1852;1702;66;0
PROMAX TEXTILE (VIETNAM) CO. LTD;MATERIALS;Apparel;Nike;;PROMAX TEXTILE;NO 33 6TH ROAD FORMOSA ZONE;Dong Nai;Ðng Nai;76000;Vietnam;SE ASIA;878;802;20;3
Hi-Tech Savannakhet Apparel Sole Company Limited;FINISHED GOODS;Apparel;Nike;;HI TECH;Lot 241 242 245 246;Phomvihane;Savannakhét;13000;Laos;SE ASIA;276;204;0;7
Hi-Tech Chaiyaphum Apparel (2020) Co.,Ltd.;FINISHED GOODS;Apparel;Nike;;HI TECH;9 Moo 11 Tambol Naseiw;Muang;Chaiyaphum;36000;Thailand;SE ASIA;1007;739;57;45
ECI ELASTIC CO LTD;FINISHED GOODS - COMPONENTS;Apparel;Nike;Collegiate;ECI;No 13 15 Shin Yeh Rd;Changhua;Changhua;506;Taiwan;N ASIA;220;152;60;35
YRC TEXTILE;MATERIALS;Apparel;Nike;;YRC TEXTILE;134 Moo 6 Sathakit 1 St Road;Kratoomband;Samut Sakhon;74130;Thailand;SE ASIA;2686;2411;56;13
Viet Hong Garment Export Co., Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;425B Nguyen Dinh Chieu St W 8;Ben Tre;Bn Tre;150513490;Vietnam;SE ASIA;1421;1286;68;0
SIMONA TANNING (ZHONGSHAN) CO. LIMITED;MATERIALS;Footwear;Nike;;SIMONA TANNING;Fu Ze 2nd Street Fu Ze Road;Zhongshan;Guangdong;528445;China;N ASIA;231;130;0;1
VIETNAM JINTAI TEXTILE TECHNOLOGY COMPANY LIMITED;MATERIALS;Apparel;Nike;;JOV GARMENT ACCESSORIAL MATERIAL;LOT TMDV1  UYEN HUNG COMMERCIAL SERVICE AND RESIDENTIAL AREA QUARTER 7;Tan Uyen;Bình Duong;75406;Vietnam;SE ASIA;58;46;0;4
Suzhou Blue Seagull Fashion Co., Ltd;FINISHED GOODS;Equipment;Nike;;SUZHOU BLUE SEAGULL FASHION;Liantang Industrial Concentration Zone Eastern District;Changshu;Jiangsu;215551;China;N ASIA;48;38;30;0
Longway Vietnam Company Limited;FINISHED GOODS;Equipment;Nike;;LONGWAY;Lot HC1 and Lot 01HC2 Route 3;Duc Hoa;Long An;863900;Vietnam;SE ASIA;806;665;76;1
SADESA THAILAND (KABINBURI);MATERIALS;Footwear;Nike;;SADESA;139 2 MOO 5 SUWANASSORN ROAD TAMBON NONSRI;Kabinburi;Prachin Buri;25110;Thailand;SE ASIA;735;577;32;0
MARVEL GARMENT CO.,LTD.;FINISHED GOODS;Apparel;Nike;;SHENZHOU;PPSEZ Beung Thom 3 village;Phnom Penh;Phnom Penh;120909;Cambodia;SE ASIA;18998;17442;88;2
Asia Caps (Thailand) Co., Ltd.;FINISHED GOODS;Apparel;Nike;;ASIA CAPS;6Anamai Ngamcharoen Road Thakam Bangkhunthien;Bangkok;Bangkok;10150;Thailand;SE ASIA;178;133;0;100
SAN FANG (TR1) (INDONESIA);MATERIALS;Footwear;Nike;;SAN FANG;JL MODERN INDUSTRI IV NO 10 12 16 18;Serang , Banten;Banten;42185;Indonesia;S ASIA;487;396;20;5
Ramatex Textiles Industrial Sdn Bhd;MATERIALS;Apparel;Nike;;RAMATEX;PLO 230 Sri Gading Industrial Estate;Johor;Johor;83000;Malaysia;S ASIA;3678;3301;15;71
VIMAL CLOTHING ENTERPRISE CC;FINISHED GOODS;Apparel;Nike;;VIMAL CLOTHING;4 Fairways Avenue;Durban;Kwazulu-Natal;4300;South Africa;EMEA;203;195;90;0
framas Korea;FINISHED GOODS - COMPONENTS;Footwear;Nike;;FRAMAS;1426 Nakdong Street;Busan;Busan Gwangyeogsi;46904;South Korea;N ASIA;32;11;10;0
TKG TAEKWANG CAN THO COMPANY LIMITED;FINISHED GOODS;Footwear;Nike;;TAEKWANG;Hung Phu 2B Industrial Park Phu Thu ward;Cai Rang;Can Tho;900000;Vietnam;SE ASIA;14672;14277;64;0
GILDAN HOSIERY RIO NANCE S de R.L.;FINISHED GOODS;Equipment;Nike;;GILDAN;ZOLI Gildan Honduras Properties Kilometro 15 and 5 ;Choloma;Cortés;21112;Honduras;AMERICAS;2247;2175;21;0
DONGJIN (Indonesia);MATERIALS;Footwear;Nike;;DONGJIN;Artha Industrial Hill;Karawang;Jawa Barat;41361;Indonesia;S ASIA;463;357;14;0
QUANG VIET ENTERPRISE CO., LTD;FINISHED GOODS;Apparel;Nike;;QUANG VIET;NGUYEN VAN NI STREET  HAMLET  2;HO CHI MINH;Ho Chi Minh;70000;Vietnam;SE ASIA;4745;4278;88;0
PROMAX TEXTILE (VIETNAM) CO. LTD.  (FTY 2);MATERIALS;Apparel;Nike;;PROMAX TEXTILE;Street No 5;Nhon Trach district;Ðng Nai;810000;Vietnam;SE ASIA;360;320;0;0
Lotus Footwear Enterprises Limited Unit-2;FINISHED GOODS;Footwear;Nike;;FENG TAY;Plot 3C SIPCOT Industrial Park Mangal Village Mathur post;Near Kanchipuram;Tamil Nadu;631701;India;S ASIA;4969;4940;63;0
Diamant srl #2;FINISHED GOODS;Footwear;Nike;;DIAMANT;Via Giorgio Perlasca 6B;MONTEBELLUNA;Veneto;31044;Italy;EMEA;58;50;81;4
PAIHO (DONGGUAN 3);MATERIALS;Footwear;Nike;;PAIHO GROUP;HUANBAO INDUSTRY DISTRICT;DONGGUAN;Guangdong;523998;China;N ASIA;1800;950;55;0
Ripon Athletic;FINISHED GOODS;Apparel;Nike;;RIPON;290 Junction St, P.O. BOX 25;Berlin;Wisconsin;54923;USA;AMERICAS;140;120;95;0
ShaoYang LianTai SQ HanShou Upper Facility;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;STELLA;Hanshou Industrial Park, Taizimiao Town, HanShou County;Chande City;Hunan;415907;China;N ASIA;1070;1003;99;0
FAR EASTERN POLYTEX (VIETNAM) LTD;MATERIALS;Apparel;Nike;Collegiate;FAR EASTERN;Land Lot B 5B CN Road DC Bau Bang Lai Uyen town;Bau Bang District;Bình Duong;75000;Vietnam;SE ASIA;1101;476;31;0
PT Mitra Garindo Perkasa;FINISHED GOODS;Apparel;Nike;;MAP;JL Pancasila V 21 Cicadas Gunung Putri Bogor;Bogor;Jawa Barat;16964;Indonesia;S ASIA;1089;935;86;0
DOG STYLE SA DE CV;FINISHED GOODS;Equipment;Nike;;DOG STYLE SA;CARRETERA LEON LAGOS DE MORENO NO 2237;LEON GTO;Guanajuato;37690;Mexico;AMERICAS;173;147;70;0
NICE APPAREL COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;2 7 8 slash 1 slash 3 Soi Ngamwongwan 25 slash19;MUANG DISTRICT;Nonthaburi;11000;Thailand;SE ASIA;1144;738;71;46
Hi-Tech Chai1 Co.,Ltd. ;FINISHED GOODS;Apparel;Nike;Collegiate;HI TECH;999 Moo 3  Tumbol Ladyai   Amphur Muang;Muang;Chaiyaphum;36000;Thailand;SE ASIA;1092;973;59;22
LI CHENG ENTERPRISE CO.,LTD;FINISHED GOODS - COMPONENTS;Footwear;Nike;;LI CHENG ENTERPRISE;NO 5 DOU KUNG 12 ROAD DOU LIU CITY;Yun-Lin Hsien;Yunlin;64645;Taiwan;N ASIA;360;211;44;36
HI-TECH SURIN APPAREL (2020) CO., LTD (00001);FINISHED GOODS;Apparel;Nike;;HI TECH;489 Moo 7;Thatoom;Surin;32120;Thailand;SE ASIA;778;695;66;0
Quanzhou Unison Light Industrial Manufacturing Co. Ltd.;FINISHED GOODS;Apparel;Nike;;QUANZHOU UNISON LIGHT INDUSTRIAL;ROOM28 YANGSHI STREET JINLONG YUXIA PARK;Quanzhou;Fujian;362000;China;N ASIA;82;62;65;0
EISHIN CO., LTD.;FINISHED GOODS;Equipment;Nike;;CROSTER;43 1;Fukushima;Hukusima;969-0101;Japan;N ASIA;83;75;66;0
PETTENATI;FINISHED GOODS;Apparel;Nike;;PETTENATI;Rod RSC 453 Km 2 4;Caxias Do Sul;Rio Grande do Sul;95010;Brazil;AMERICAS;667;561;88;6
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA;FINISHED GOODS;Footwear;Nike;;ANIGER;Rua Armindo Eltz, 51 - Quatro Colonias;Campo Bom RS;Rio Grande do Sul;93700-000;Brazil;AMERICAS;441;64;48;3
EverTech Plastic Vietnam Company LTD Branch;FINISHED GOODS - COMPONENTS;Footwear;Nike;;EVER TECH;Phuoc Hai Quarter Thai Hoa Town;Tan Uyen City;Bình Duong;75416;Vietnam;SE ASIA;650;591;43;1
Ad Dulyal;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Part of land no 1075 Basin 5 Ad Dulayl;Zarqa;Az Zarqa;11183;Jordan;EMEA;1208;1048;87;86
DUCKSAN ;FINISHED GOODS - COMPONENTS;Footwear;Nike;;DUCKSAN;76 Opoanro Opoeup;Gyeonggi-do;Gyeonggido;12774;South Korea;N ASIA;29;24;45;8
SUNNY JET HOSIERY CO., LIMITED;FINISHED GOODS;Apparel;Nike;;SUNNY JET;NO 9 LONGQUAN ROAD GUANGLING INDUSTRY ZONE;YANGZHOU;Jiangsu;225003;China;N ASIA;263;182;85;0
Dongguan leefong label manufacture co ltd.;FINISHED GOODS;Apparel;Nike;;LEE BOU LABEL ENTERPRISE;NO 9 WUSONG ROAD YUWU COMMUNITY;DONGGUAN;Guangdong;523117;China;N ASIA;475;406;63;0
AHP APPAREL PVT LTD., UNIT 60;FINISHED GOODS;Apparel;Nike;Collegiate;SHAHI;207 ABDE F KIADB INDUSTRIAL AREA;HASSAN;Karnataka;573201;India;S ASIA;2704;906;75;0
framas Korea Vina Co., Ltd;FINISHED GOODS - COMPONENTS;Footwear;Nike;;FRAMAS;Workshop 1 to 5 Longthanh IP Longthanh District;Dong Nai;Ðng Nai;815300;Vietnam;SE ASIA;977;679;41;0
TONG HONG TANNERY CO LTD (VIETNAM);MATERIALS;Footwear;Nike;;TONG HONG;LOT NO II1 MY XUAN A2 INDUS MY XUAN WARD PHU MY CITY BRVT;PHU MY;Bà Ra - Vung Tàu;795638;Vietnam;SE ASIA;1310;1210;40;2
GOLD LONG JOHN (VIETNAM);FINISHED GOODS - COMPONENTS;Footwear;Nike;;GOLD LONG JOHN;LOT NO 7 ROAD 5A NHON TRACH 2 INDUSTRIAL ZONE;Dong Nai;Ðng Nai;815956;Vietnam;SE ASIA;510;315;33;0
VIRTUE KING VIETNAM COMPANY LIMITED;FINISHED GOODS;Equipment;Nike;Collegiate;GUANG DER;No 28 DT743 Road Song Than 2 Industrial Zone;Binh Duong;Bình Duong;72000;Vietnam;SE ASIA;1948;1874;71;0
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA.;FINISHED GOODS;Apparel;Nike;;CLASSICO;Av Juracy Magalhaes 5200;Vitoria da Conquista;Bahia;45023-490;Brazil;AMERICAS;2415;1480;70;0
FORMOSA TAFFETA (CHANGSHU) CO., LTD;MATERIALS;Apparel;Nike;;FORMOSA TAFFETA;No.15 Peng-Hu RD.;Changshu;Jiangsu;215500;China;N ASIA;234;128;28;0
Nice Apparel Company Limited Branch Chumphae;FINISHED GOODS;Apparel;Nike;Collegiate;NICE APPAREL;219 Moo 2 Maliwan Road T Non Udom;Chumpae;Khon Kaen;40130;Thailand;SE ASIA;3328;3242;72;0
Vietnam ECI Elastic Co., Ltd;MATERIALS;Apparel;Nike;;ECI;Avenue D1 2 1;Binh Duong Ward;Ho Chi Minh;820000;Vietnam;SE ASIA;292;258;50;0
Shoetown JinTan;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;Da Wan Gang Village;Qingyuan City;Guangdong;511515;China;N ASIA;874;801;91;0
DAEWON CHEMICAL VINA CO., LTD.;MATERIALS;Footwear;Nike;;DAEWON;ROAD NO 5 LONG THANH IZ AN PHUOC COMMUNE DONG NAI;LONG THANH;Ðng Nai;810000;Vietnam;SE ASIA;374;192;4;0
YKK Taiwan Chung Li 3rd Factory;MATERIALS;Footwear;Nike;;YKK;No 28 Heding Rd;Taoyuan;Taoyuan;32061;Taiwan;N ASIA;154;139;1;10
QINGDAO HONGTAISHENGDA TRADE CO., LTD.;FINISHED GOODS - COMPONENTS;Footwear;Nike;;QINGDAO HONGTAISHENGDA TRADE CO., LTD.;No 41 BeiJing Xi Road;Qingdao;Shandong;266300;China;N ASIA;60;48;90;0
PT Trigoldenstar Wisesa;FINISHED GOODS;Apparel;Nike;;TRIGOLDENSTAR;Jl Rumambe Desa Anggadita Kec Klari;Karawang;Jawa Barat;41371;Indonesia;S ASIA;132;106;80;0
Vietnam Dona Standard Footwear Co., Ltd;FINISHED GOODS;Footwear;Nike;;FENG TAY;Xuan Loc Industrial Zone;Xuan Loc District;Ðng Nai;76000;Vietnam;SE ASIA;19155;16962;66;0
